Наименование	Раздел	Родитель	Опция	ОтборПоЗначению	ТипЗначенияПараметра	РазрешеноКопирование	ПроверкаЗаполнения	Автоиспользование	БезПробелов	Кавычки	КавычкиДляЗначения	Описание
Настройки прокси	e9d59300-dd41-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/NoProxy
— запретить использование прокси (только для ws-соединения тонкого клиента).

/Proxy -PSrv <адрес прокси> -PPort <порт> [-PUser <имя пользователя прокси> [-PPwd <пароль>]]
— использовать указанные настройки прокси, игнорируя умолчания (только для ws-соединения) (используется только в тонком клиенте). Например: /Proxy -PSrv 192.168.0.10 -PPort 3128."
Адрес прокси	e9d59303-dd41-11e8-83dc-485ab6090f00	e9d59300-dd41-11e8-83dc-485ab6090f00	-PSrv	 e9d59302-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Да	"/Proxy -PSrv <адрес прокси> -PPort <порт> [-PUser <имя пользователя прокси> [-PPwd <пароль>]]
— использовать указанные настройки прокси, игнорируя умолчания (только для ws-соединения) (используется только в тонком клиенте). Например: /Proxy -PSrv 192.168.0.10 -PPort 3128."
Порт прокси	e9d59304-dd41-11e8-83dc-485ab6090f00	e9d59300-dd41-11e8-83dc-485ab6090f00	-PPort	 e9d59302-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Нет	"/Proxy -PSrv <адрес прокси> -PPort <порт> [-PUser <имя пользователя прокси> [-PPwd <пароль>]]
— использовать указанные настройки прокси, игнорируя умолчания (только для ws-соединения) (используется только в тонком клиенте). Например: /Proxy -PSrv 192.168.0.10 -PPort 3128."
Имя пользователя	e9d59305-dd41-11e8-83dc-485ab6090f00	e9d59300-dd41-11e8-83dc-485ab6090f00	-PUser	 e9d59302-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Да	"/Proxy -PSrv <адрес прокси> -PPort <порт> [-PUser <имя пользователя прокси> [-PPwd <пароль>]]
— использовать указанные настройки прокси, игнорируя умолчания (только для ws-соединения) (используется только в тонком клиенте). Например: /Proxy -PSrv 192.168.0.10 -PPort 3128."
Пароль пользователя	e9d59306-dd41-11e8-83dc-485ab6090f00	e9d59300-dd41-11e8-83dc-485ab6090f00	-PPwd	 e9d59302-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Да	"/Proxy -PSrv <адрес прокси> -PPort <порт> [-PUser <имя пользователя прокси> [-PPwd <пароль>]]
— использовать указанные настройки прокси, игнорируя умолчания (только для ws-соединения) (используется только в тонком клиенте). Например: /Proxy -PSrv 192.168.0.10 -PPort 3128."
Логирование действий пользователя	e9d59314-dd41-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/LogUI	 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	"/LogUI
— выполнить логирование действий пользователя.

Выполняет запись интерактивных действий пользователя в файл logui.txt, который располагается в каталоге %APPDATA%\1C\1Cv82\<Уникальный идентификатор информационной базы>. Подробная информация приведена в руководстве администратора в разделе ""Описание и расположение служебных файлов"""
Завершение работы пользователя	cc4c120f-dd48-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/Authoff			Нет	Нет	Нет	Нет	Нет	Нет	"/Authoff
— выполняет OpenID logout (завершение сеанса работы пользователя). Завершение сеанса работы выполняется вне зависимости от используемого в дальнейшем метода аутентификации."
Примененять сквозную аутентификацию пользователя	cc4c1211-dd48-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/OIDA		Перечисление	Нет	Нет	Нет	Да	Нет	Нет	
Автоматизированное тестирование	e9d59307-dd41-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00		 e9d592e0-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/TestClient [-TPort<Номер TCP-порта>] 
— запуск толстого и тонкого клиента как управляемого другими клиентами с помощью менеджера тестирования.

/TestManager 
— запуск толстого и тонкого клиента для управления другими клиентами с помощью специализированной объектной модели.

/UILogRecorder [–TPort<Номер порта TCP/IP>] [-File<Путь>] 
— запись журнала интерактивных действий пользователя. Журнал можно использовать для формирования сценария на встроенном языке ""1С:Предприятие"", позволяющего воспроизводить записанные действия. Может совмещаться с параметром /TESTCLIENT."
Порт	e9d5930b-dd41-11e8-83dc-485ab6090f00	e9d59307-dd41-11e8-83dc-485ab6090f00	-TPort	 e9d59309-dd41-11e8-83dc-485ab6090f00	Число	Нет	Да	Нет	Нет	Нет	Нет	Номер порта для взаимодействия клиента и менеджера тестирования. По умолчанию используется порт 1538.
Файл журнала	e9d5930d-dd41-11e8-83dc-485ab6090f00	e9d59307-dd41-11e8-83dc-485ab6090f00	-File	 e9d5930a-dd41-11e8-83dc-485ab6090f00	Файл;Сохранение;Файл журнала интерактивных действий пользователя (*.xml)|*.xml	Нет	Да	Да	Нет	Нет	Нет	Имя файла, в который будет сохраняться журнал действий пользователя после завершения записи, если к клиенту не подключён менеджер тестирования.
Запись журнала интерактивных действий пользователя	e9d5930f-dd41-11e8-83dc-485ab6090f00	e9d59307-dd41-11e8-83dc-485ab6090f00	/UILogRecorder	 e9d59309-dd41-11e8-83dc-485ab6090f00	Файл;Сохранение;Файл журнала интерактивных действий пользователя (*.xml)|*.xml	Нет	Да	Нет	Нет	Нет	Нет	"/UILogRecorder [–TPort<Номер порта TCP/IP>] [-File<Путь>] 
— запись журнала интерактивных действий пользователя. Журнал можно использовать для формирования сценария на встроенном языке ""1С:Предприятие"", позволяющего воспроизводить записанные действия.

-TPort<Номер TCP-порта> указывает номер порта для взаимодействия клиента и менеджера тестирования. По умолчанию используется порт 1538.

-File<Путь> имя файла, в который будет сохраняться журнал действий пользователя после завершения записи, если к клиенту не подключён менеджер тестирования."
Порт	e9d59310-dd41-11e8-83dc-485ab6090f00	e9d5930f-dd41-11e8-83dc-485ab6090f00	-TPort		Число	Нет	Да	Нет	Нет	Нет	Нет	Номер порта для взаимодействия клиента и менеджера тестирования. По умолчанию используется порт 1538.
Файл журнала	605e73d2-de01-11e8-83dd-485ab6090f00	e9d5930f-dd41-11e8-83dc-485ab6090f00	-File		Файл;Сохранение;Файл журнала интерактивных действий пользователя (*.xml)|*.xml	Нет	Да	Да	Нет	Нет	Нет	Имя файла, в который будет сохраняться журнал действий пользователя после завершения записи, если к клиенту не подключён менеджер тестирования.
Порт	605e73d3-de01-11e8-83dd-485ab6090f00	e9d59307-dd41-11e8-83dc-485ab6090f00	-TPort	 e9d5930a-dd41-11e8-83dc-485ab6090f00	Число	Нет	Да	Нет	Нет	Нет	Нет	Номер порта для взаимодействия клиента и менеджера тестирования. По умолчанию используется порт 1538.
Настройки интерфейса	e9d59315-dd41-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00		 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	
Режим интерфейса	e9d59316-dd41-11e8-83dc-485ab6090f00	e9d59315-dd41-11e8-83dc-485ab6090f00			Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Включить команду меню "Все функции"	e9d59319-dd41-11e8-83dc-485ab6090f00	e9d59315-dd41-11e8-83dc-485ab6090f00	/DisplayAllFunctions			Нет	Нет	Нет	Нет	Нет	Нет	
Настройки локализации	e9d5931a-dd41-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00		 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	
Код языка	e9d5931b-dd41-11e8-83dc-485ab6090f00	e9d5931a-dd41-11e8-83dc-485ab6090f00	/L		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	
Код локализации сеанса	e9d5932d-dd41-11e8-83dc-485ab6090f00	e9d5931a-dd41-11e8-83dc-485ab6090f00	/VL		Строка	Нет	Да	Нет	Нет	Нет	Нет	
Настройки отладки	e9d5932e-dd41-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00		 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	
Разрешить отладку по протоколу	e9d5932f-dd41-11e8-83dc-485ab6090f00	e9d5932e-dd41-11e8-83dc-485ab6090f00	/Debug		Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/Debug [<режим>] [-attach]
— указывает, что данное клиентское приложение будет запущено в режиме отладки. 

Протокол, используемый для работы отладчика, определяется параметром <режим>:

-tcp – для отладки используется протокол TCP/IP; 

-http – для отладки используется протокол HTTP."
Автоматически подключать предметы отладки запускаемого приложения	e9d59332-dd41-11e8-83dc-485ab6090f00	e9d5932f-dd41-11e8-83dc-485ab6090f00	-attach	 e9d59331-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	Отладчик будет автоматически подключать предметы отладки (клиентский и серверный) запускаемого приложения, которые будут зарегистрированы на сервере отладки
URL отладчика	e9d59333-dd41-11e8-83dc-485ab6090f00	e9d5932e-dd41-11e8-83dc-485ab6090f00	/DebuggerURL			Нет	Да	Нет	Нет	Нет	Нет	"/DebuggerURL <URL отладчика>
— идентификация отладчика, к которому приложение сразу после запуска должно подключиться. Указывается URL отладчика (протокол, компьютер и номер порта), на котором в отладчике можно создавать удаленные объекты."
Показать параметры производительности	e9d59334-dd41-11e8-83dc-485ab6090f00	e9d5932e-dd41-11e8-83dc-485ab6090f00	/DisplayPerformance			Нет	Нет	Нет	Нет	Нет	Нет	"/DisplayPerformance
— показать количество вызовов сервера и объем данных, отправляемых на сервер и принимаемых с сервера."
Имитировать задержку при вызовах сервера	e9d59335-dd41-11e8-83dc-485ab6090f00	e9d5932e-dd41-11e8-83dc-485ab6090f00	/SimulateServerCallDelay			Нет	Нет	Нет	Нет	Нет	Нет	"SimulateServerCallDelay [-CallXXXXX] [-SendYYYYY] [-ReceiveZZZZZ]
— имитация работы клиента в условиях медленного соединения.

-Call — указывает величину задержки (XXXXX) при вызове сервера в секундах, если не указан, то 4,45 сек;
-Send — указывает величину задержки (YYYYY) в секундах в расчете на каждые 1 Кбайт данных, отправляемых на сервер. Если не указан, то 0,45 сек;
-Receive — указывает величину задержки (ZZZZZ) в секундах в расчете на каждые 1 Кбайт данных, принятых с  сервера. Если не указан, то 0,15 сек.

Максимальное значение временных задержек — 10 сек.

Пример: 
/SimulateServerCallDelay -Call2.1 -Send1.3 -Receive1.2"
Задержка при вызове (с.)	e9d59336-dd41-11e8-83dc-485ab6090f00	e9d59335-dd41-11e8-83dc-485ab6090f00	-Call		Число(2,2)	Нет	Да	Нет	Да	Нет	Нет	Указывает величину задержки при вызове сервера в секундах, если не указан, то 4.45 сек
Задержка при передаче данных (с./Кбайт)	e9d59338-dd41-11e8-83dc-485ab6090f00	e9d59335-dd41-11e8-83dc-485ab6090f00	-Send		Число(2,2)	Нет	Да	Нет	Да	Нет	Нет	Указывает величину задержки в секундах в расчете на каждые 1 Кбайт данных, отправляемых на сервер. Если не указан, то 0.45 сек
Задержка при получении данных (с./Кбайт)	e9d59339-dd41-11e8-83dc-485ab6090f00	e9d59335-dd41-11e8-83dc-485ab6090f00	-Receive		Число(2,2)	Нет	Да	Нет	Да	Нет	Нет	Указывает величину задержки в секундах в расчете на каждые 1 Кбайт данных, принятых с  сервера. Если не указан, то 0.15 сек
Проверки во время работы клиентского приложения	e9d5933a-dd41-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00		 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	
Строгая проверка использования синхронных вызовов	e9d5933b-dd41-11e8-83dc-485ab6090f00	e9d5933a-dd41-11e8-83dc-485ab6090f00	/EnableCheckExtensionsAndAddInsSyncCalls			Нет	Нет	Нет	Нет	Нет	Нет	"/EnableCheckExtensionsAndAddInsSyncCalls
— включает режим строгой проверки использования синхронных вызовов расширений работы с файлами и криптографией и внешних компонент (используется для тонкого и веб-клиентов в режиме ""1С:Предприятие"")."
Строгая проверка использования модальных методов	e9d5933c-dd41-11e8-83dc-485ab6090f00	e9d5933a-dd41-11e8-83dc-485ab6090f00	/EnableCheckModal			Нет	Нет	Нет	Нет	Нет	Нет	"/EnableCheckModal
— предназначен для запуска в режиме ""строгой"" проверки использования модальных методов.  В конфигурации, для которой режим модальности установлен в значение ""Не использовать"" или ""Использовать с предупреждениями"", при вызове модального метода будет сгенерирована исключительная ситуация или отображено предупреждение."
Поиск запрещенных серверных вызовов в обработчиках формы	e9d5933d-dd41-11e8-83dc-485ab6090f00	e9d5933a-dd41-11e8-83dc-485ab6090f00	/EnableCheckServerCalls			Нет	Нет	Нет	Нет	Нет	Нет	"/EnableCheckServerCalls
— включает режим проверки контекстных серверных вызовов в обработчиках формы, в которых вызовы сервера запрещены."
Поиск циклических ссылок	e9d5933e-dd41-11e8-83dc-485ab6090f00	e9d5933a-dd41-11e8-83dc-485ab6090f00	/EnableCheckScriptCircularRefs			Нет	Нет	Нет	Нет	Нет	Нет	"/EnableCheckScriptCircularRefs
— включает поиск циклических ссылок при выполнении кода на встроенном языке."
Прочие параметры	e9d5933f-dd41-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Параметр запуска	e9d59340-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/С	 e9d592e0-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	"/C <строка текста>
— передача параметра в прикладное решение. Для доступа к параметру из встроенного языка используется свойство глобального контекста ПараметрЗапуска."
Подавление стартовых диалогов	e9d59341-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/DisableStartupDialogs			Нет	Нет	Нет	Нет	Нет	Нет	"/DisableStartupDialogs
— отключает вызов стартового диалога и диалогов аутентификации. При этом:

если командной строки недостаточно для выбора информационной базы или определения режима запуска, выдается ошибка; 
если командной строки недостаточно для авторизации пользователя в информационной базе, выдается ошибка; 
если в командной строке отсутствует авторизация в хранилище конфигурации, конфигуратор запускается без связи с хранилищем; 
если в командной строке ошибочная авторизация в хранилище конфигурации, выдается ошибка."
Подавление стартовых сообщений	e9d59342-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/DisableStartupMessages	 e9d592df-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	"/DisableStartupMessages
— отключает стартовые сообщения: 

""Конфигурация базы данных не соответствует сохраненной конфигурации. Продолжить?""; 
""Возможностей Вашего компьютера недостаточно для редактирования справки по конфигурации. Для редактирования справки необходимо установить Microsoft Internet Explorer версии 6.0 или выше.""; 
""Возможностей Вашего компьютера недостаточно для редактирования html-документов, в том числе разделов справки. Для редактирования html-документов необходимо установить Microsoft Internet Explorer версии 6.0 или выше. В данном запуске редактирование html-документов будет недоступно.""."
Файл для вывода служебных сообщений	e9d59343-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/Out	 e9d592df-dd41-11e8-83dc-485ab6090f00	Файл;Сохранение;Файл для вывода служебных сообщений (*.txt)|*.txt	Нет	Да	Нет	Нет	Нет	Да	"/Out <имя файла> [-NoTruncate] 
— установка файла для вывода служебных сообщений. Если задан параметр -NoTruncate (через пробел), файл не очищается. 
Во время исполнения пакетных команд файл сообщений можно открыть для просмотра. Запись сообщений в файл не буферизуется (сообщения записываются сразу)."
Не очищать	e9d59345-dd41-11e8-83dc-485ab6090f00	e9d59343-dd41-11e8-83dc-485ab6090f00	-NoTruncate			Нет	Нет	Нет	Нет	Нет	Нет	Если задан параметр -NoTruncate (через пробел), файл не очищается
Режим сжатия трафика между сервером и клиентом	e9d59346-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/TComp	 e9d592e0-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Нет	Нет	Нет	Нет	Нет	"/TComp [-None | -Deflate | -SDC]
— устанавливает режим сжатия трафика между сервером и клиентом (только для тонкого клиента). 

-None — сжатие отключено;
-Deflate — используется стандартное http сжатие трафика по алгоритму deflate;
-SDC — используется собственный алгоритм сжатия;
По умолчанию используется SDC-сжатие трафика."
Код доступа	e9d5934a-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/UC		Строка	Нет	Да	Нет	Нет	Нет	Да	"/UC <код доступа>
— позволяет выполнить установку соединения с информационной базой, на которую установлена блокировка установки соединений. Если при установке блокировки задан непустой код доступа, то для установки соединения необходимо в параметре /UC указать этот код доступа. Не используется при работе тонкого клиента через веб-сервер"
Перейти по ссылке	e9d5934b-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/URL	 e9d592e0-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Нет	Нет	Нет	Нет	"/URL <адрес>
— указывает необходимость перехода по ссылке. Поддерживаются ссылки формата e1c:

Если указана внешняя ссылка - выполняется поиск запущенного клиентского приложения с той же строкой соединения, которая указана в параметре. В найденном клиентском приложении не должно быть открыто модальное или блокирующее окно. После этого выполняется попытка перехода по локальной ссылке из исходной навигационной ссылки и активизируется основное окно приложения. В случае неудачи клиентское приложение продолжает работу. Если исходная навигационная ссылка не содержит локальной ссылки (содержит только адрес информационной базы), то попытка перехода не выполняется, активируется основное окно найденного клиентского приложения.

Если подходящего клиентского приложения не найдено, строка соединения определяется из параметра командной строки /URL.

Если указана локальная ссылка - клиентское приложение запускается в общем порядке. После запуска выполнится попытка перехода по переданной локальной ссылке.

Для ссылок формата http(s) всегда запускается (или находится активный) тонкий клиент."
Поиск локального ключа защиты	e9d5934c-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/UseHwLicenses		Перечисление	Нет	Да	Нет	Да	Нет	Нет	"/UseHwLicenses[+/-]
— определяет режим поиска локального ключа защиты. 

/UseHwLicenses+ — поиск локального ключа защиты выполняется. 

/UseHwLicenses- — поиск локального ключа защиты не выполняется."
Запуск в режиме привилегированного сеанса	e9d5934f-dd41-11e8-83dc-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/UsePrivilegedMode	 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	"/UsePrivilegedMode
— запуск в режиме привилегированного сеанса. Разрешен аутентифицированному пользователю, имеющему административные права. Журнал регистрации фиксирует установку или отказ в возможности установки режима привилегированного сеанса."
Путь к файлу с параметрами командной строки	605e73d5-de01-11e8-83dd-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/@		Файл;Сохранение;Текстовый документ (*.txt)|*.txt	Нет	Да	Нет	Нет	Нет	Да	"/@ <имя файла>
— параметры командной строки записаны в указанном файле."
Запуск регламентных заданий в текущем сеансе	605e73d6-de01-11e8-83dd-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/AllowExecuteScheduledJobs	 e9d592e0-dd41-11e8-83dc-485ab6090f00	Перечисление	Нет	Да	Нет	Нет	Нет	Нет	"/AllowExecuteScheduledJobs -Off|-Force
— управление запуском регламентных заданий. Регламентные задания начинают выполняться на первом запущенном по порядку клиенте, у которого не AllowExecuteScheduledJobs –Off. После завершения сеанса этого клиента, выполнение переходит к какому-либо из других запущенных сеансов. Если запускается сеанс с AllowExecuteScheduledJobs –Force, то регламентные задания начинают выполняться на нем, не зависимо от наличия других сеансов."
Автоматическая установка новых версий приложения	dc747be0-de0c-11e8-83de-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/AppAutoInstallLastVersion		Перечисление	Нет	Да	Нет	Да	Нет	Нет	"/AppAutoInstallLastVersion+/-
— управляет автоматической установкой новых версий приложения:

""+"" — установка новых версий включена; 
""-"" — установка новых версий выключена."
Очистить кэш клиент-серверных вызовов и индекс поиска по текстам модулей	dc747be3-de0c-11e8-83de-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/ClearCache			Нет	Нет	Нет	Нет	Нет	Нет	"/ClearCache
— очищает кэш клиент-серверных вызовов, в котором хранятся метаданные форм, модули и т.д., а также сохраненный индекс поиска по текстам модулей."
Отключить отображение заставки при запуске "1С:Предприятия"	dc747be4-de0c-11e8-83de-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/DisableSplash	 e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Нет	Нет	Нет	Нет	"/DisableSplash
— отключает отображение заставки при запуске ""1С:Предприятия"", если она была полностью заменена. 


Для того, чтобы полностью заменить заставку, необходимо обращаться в фирму ""1С""."
Запуск внешней обработки	dc747be6-de0c-11e8-83de-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/Execute	 e9d592e0-dd41-11e8-83dc-485ab6090f00	Файл;Открытие;Файл внешней обработки (*.epf)|*.epf	Нет	Да	Нет	Нет	Нет	Да	"/Execute <имя файла внешней обработки>
— предназначен для запуска внешней обработки в режиме ""1С:Предприятие"" непосредственно после старта системы."
Использовать список информационных баз	dc747be8-de0c-11e8-83de-485ab6090f00	e9d5933f-dd41-11e8-83dc-485ab6090f00	/RunShortcut		Файл;Открытие;Файл списка общих информационных баз (*.v8i)|*.v8i|Файл ярлыка информационных баз (*.v8l)|*.v8l	Нет	Да	Нет	Нет	Нет	Да	"/RunShortcut <имя файла>
— позволяет запустить систему ""1С:Предприятие 8"" со списком информационных баз, полученным с помощью указанного файла. В качестве файла может быть указан файл списка общих информационных баз (*.v8i), или файл ярлыка информационных баз (*.v8l)."
Определение режима запуска	cc4c1216-dd48-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Автоматический подбор версии платформы	e9d592fd-dd41-11e8-83dc-485ab6090f00	cc4c1216-dd48-11e8-83dc-485ab6090f00	/AppAutoCheckVersion		Перечисление	Нет	Нет	Нет	Да	Нет	Нет	"/AppAutoCheckVersion [+/-]
— Определяет использование подбора нужной версии для каждой базы

/AppAutoCheckVersion- — автоматический подбор версии платформы не выполняется.

/AppAutoCheckVersion+ — автоматический подбор версии платформы выполняется выполняется для каждой базы (по умолчанию)."
Автоматическое определение приложения на основе данных информационной базы	cc4c1217-dd48-11e8-83dc-485ab6090f00	cc4c1216-dd48-11e8-83dc-485ab6090f00	/AppAutoCheckMode			Нет	Нет	Нет	Нет	Нет	Нет	"/AppAutoCheckMode
— выполняет автоматическое определение приложения на основе данных информационной базы (основного режима запуска для конфигурации и режима запуска для пользователя)."
Запуск клиента согласно настройке в списке информационных баз	cc4c1218-dd48-11e8-83dc-485ab6090f00	cc4c1216-dd48-11e8-83dc-485ab6090f00	/RunModeManagedApplication			Нет	Нет	Нет	Нет	Нет	Нет	"/RunModeManagedApplication
— запуск толстого клиента в режиме управляемого приложения, при этом учитывается настройка в списке информационных баз:

""Выбирать автоматически"" — запускается тонкий клиент; 
""Тонкий клиент"" — запускается тонкий клиент; 
""Веб-клиент"" — запускается веб-клиент; 
""Толстый клиент"" — запускается толстый клиент в режиме управляемого приложения.
При этом, при запуске клиента отключается механизм автоматического подбора клиентского приложения."
Запуск толстого клиента в обычном режиме	cc4c1219-dd48-11e8-83dc-485ab6090f00	cc4c1216-dd48-11e8-83dc-485ab6090f00	/RunModeOrdinaryApplication			Нет	Нет	Нет	Нет	Нет	Нет	"/RunModeOrdinaryApplication
— запуск толстого клиента в обычном режиме, несмотря на настройки конфигурации и пользователя, от имени которого будет выполняться запуск.  Не используется в тонком клиенте."
